"report_year","zone","coral_cover","sd","reef_count","ci"
1993,"central",20.5721538461538,12.300321723517,39,3.86047050523895
1993,"north",29.8627142857143,13.2962261169243,28,4.92499107534894
1993,"south",32.6398,14.9566052355282,15,7.5690865777519
1994,"central",18.6148205128205,9.35762798855563,39,2.93690259985236
1994,"north",30.1212068965517,12.3584003801327,29,4.49799878231566
1994,"south",31.6991052631579,15.4895977922631,19,6.96497259194887
1995,"central",21.84042,10.1208840040819,50,2.80536591866841
1995,"north",27.4395588235294,13.8342876944058,34,4.65021910144821
1995,"south",30.2460526315789,10.1903527224619,19,4.58214140651802
1996,"central",21.9690377358491,9.48324391505327,53,2.55314251517999
1996,"north",28.7324571428571,10.8283144996126,35,3.58742565978735
1996,"south",33.893,12.5264954320641,22,5.23448928710106
1997,"central",21.3369583333333,8.57084983238481,48,2.4247074043765
1997,"north",22.682,7.47370015454193,12,4.22864394014598
1997,"south",30.7582142857143,10.0841962814523,14,5.28242505086442
1998,"central",22.4224038461538,8.71483734621394,52,2.36871977314776
1998,"north",26.1974615384615,14.9755185690832,39,4.70008419585254
1998,"south",34.8817647058824,9.70516545794952,17,4.61354280603264
1999,"central",19.8605918367347,9.00961252385095,49,2.52269150667827
1999,"north",26.4112307692308,9.53730665673572,26,3.6660226534475
1999,"south",33.1001764705882,12.0976370328842,17,5.7508516000972
2000,"central",18.6983703703704,9.13488498610104,54,2.43647677038438
2000,"north",26.5382592592593,8.12226837202038,27,3.06373730293068
2000,"south",35.5031764705882,12.0136221600486,17,5.71091346469397
2001,"central",19.3445609756098,10.1581394926649,41,3.10941232238305
2001,"north",24.2864074074074,9.19614004000198,27,3.46880403269908
2001,"south",27.8401304347826,18.1670541072778,23,7.42466157895152
2002,"central",18.0456376811594,9.05202589442082,69,2.13588228453047
2002,"north",26.9286896551724,12.4552034625334,29,4.53323150931668
2002,"south",31.8045294117647,14.9738561838528,17,7.11811939475959
2003,"central",15.8013278688525,11.7310441006208,61,2.94393231859744
2003,"north",26.80885,11.6603433653288,20,5.11037079954934
2003,"south",31.4741764705882,18.6526546845057,17,8.8669091944872
2004,"central",17.5184651162791,10.4470152683248,43,3.12258358961835
2004,"north",22.5112413793103,13.9427553529606,29,5.07464515396033
2004,"south",30.9639411764706,20.9246735711414,17,9.94695841518572
2005,"central",19.1020217391304,11.0929877459975,46,3.20572075322946
2005,"north",27.217,10.3127581447314,30,3.69037310709682
2005,"south",31.146347826087,22.1300311826767,23,9.04428375083644
2006,"central",12.2717837837838,7.93056722482746,37,2.55540335221664
2006,"north",20.2124137931034,9.51257592241991,29,3.46222436558335
2006,"south",30.6118684210526,17.6216894765867,38,5.60288639884912
2007,"central",16.0429841269841,10.2146623497352,63,2.52237592169679
2007,"north",20.29395,7.94419881340102,20,3.48169864041342
2007,"south",29.1630666666667,18.9255034296757,15,9.57762618795877
2008,"central",12.9216666666667,6.87905484853809,30,2.4616381630416
2008,"north",19.427875,4.30465374208957,8,2.98297285465775
2008,"south",29.3117666666667,13.5170643126876,30,4.83701934306729
2009,"central",15.8649615384615,6.50656808144367,26,2.50104425088655
2009,"north",23.7856071428571,9.96166374003744,28,3.68985188608241
2009,"south",21.1732,9.82222097520282,15,4.97072963927135
2010,"central",18.88203125,9.4520510745087,32,3.27496861134428
2010,"north",23.5324347826087,7.75405968641932,23,3.16899309567153
2010,"south",14.743875,7.8806923625341,32,2.73052059489652
2011,"central",12.1847368421053,7.47982635599179,19,3.36334011126108
2011,"north",24.6925,9.05386338163622,16,4.43639305700175
2011,"south",10.4399285714286,6.55158371299273,14,3.43192942327019
2012,"central",8.65052173913043,4.50568535670178,23,1.8414206704733
2012,"south",16.7393571428571,6.54716874751717,28,2.42510524165065
2013,"central",12.8378965517241,6.75185794718137,29,2.45742554785751
2013,"north",26.2486304347826,12.5579707425801,46,3.62908067237907
2013,"south",15.1901176470588,9.94855131967937,17,4.72924110054796
2014,"central",13.7812941176471,6.2388792639855,17,2.9657749443612
2014,"south",21.5305806451613,8.98123049763299,31,3.16163016755493
2015,"central",17.0114117647059,8.66537409399896,34,2.91275481782869
2015,"north",16.5374444444444,12.402641450462,27,4.67830334165661
2015,"south",28.5761538461538,10.2175208493887,13,5.55430760368944
2016,"central",22.3687777777778,11.153776526131,27,4.20722877483055
2016,"south",30.16572,12.3100117909502,25,4.82552462205248
2017,"central",22.9488,9.089488689431,35,3.0113518553583
2017,"north",19.0759375,17.3630663653881,32,6.01599556488741
2017,"south",36.7054375,11.4123040266124,16,5.59202897304007
2018,"central",14.7354166666667,9.36541128378742,24,3.74694488317524
2018,"south",30.5208846153846,15.8039375633465,26,6.07483802358181
2019,"central",14.5307692307692,8.56189199328136,26,3.29108532769809
2019,"north",20.9090769230769,14.6218625104275,26,5.62046300157123
2019,"south",29.8301666666667,19.1467293614973,12,10.8332819639422
2020,"central",16.2822424242424,10.7626742872947,33,3.67214057902396
2020,"north",23.2135,17.9509700022032,26,6.90013072327461
2020,"south",31.4168888888889,16.9461510227892,27,6.39212503842713
2021,"central",26.7160188679245,14.424107124067,53,3.88335483847557
2021,"north",27.4944444444444,14.8199379530016,54,3.95280669827437
2021,"south",42.0918,19.3420331446418,20,8.47701978315671
2022,"central",33.1578787878788,13.6629073812951,33,4.66167750533228
2022,"north",39.3974615384615,19.52114312069,26,7.50368583892577
2022,"south",34.5188214285714,21.5877977743148,28,7.99623219701467
2023,"central",30.5026315789474,15.1350405465953,38,4.81224646122719
2023,"north",35.6634146341463,14.6405559337335,41,4.48148256477097
2023,"south",35.3032258064516,16.8148046647583,31,5.91925501785688
